user_name	user_id	friend_count	follower_count	status_count	favorite_count	account_age	user_location	geocode
ALovelyMe	119460952	333	367	18800	0	3 Mar 2010 18:37:25 GMT	In Gods Arms..	"{ ""formatted_address"" : ""In God's Arms Child Care, 1224 Laurel St, Indianapolis, IN 46203, USA"", ""location"" : { ""lat"" : 39.75011, ""lng"" : -86.135924 } }"
NathanM777	119594132	124	93	16052	0	4 Mar 2010 03:01:04 GMT	Muncie, IN	"{ ""formatted_address"" : ""Muncie, IN, USA"", ""location"" : { ""lat"" : 40.1933767, ""lng"" : -85.3863599 } }"
Wolfheinrich	120389549	325	465	21885	0	6 Mar 2010 08:41:54 GMT	    ; Live in USA	"{ ""formatted_address"" : ""Lilly Hall of Life Sciences, 915 W State St, West Lafayette, IN 47907, USA"", ""location"" : { ""lat"" : 40.42344749999999, ""lng"" : -86.9178981 } }"
LiketheRiver	120482448	195	118	2793	0	6 Mar 2010 15:26:37 GMT	Indianapolis	"{ ""formatted_address"" : ""Indianapolis, IN, USA"", ""location"" : { ""lat"" : 39.768403, ""lng"" : -86.158068 } }"
chrisvannoy	12086882	306	461	5736	0	10 Jan 2008 21:43:12 GMT	Indianapolis, IN	"{ ""formatted_address"" : ""Indianapolis, IN, USA"", ""location"" : { ""lat"" : 39.768403, ""lng"" : -86.158068 } }"
RachelMWeller	122255744	192	79	269	0	12 Mar 2010 03:30:41 GMT	West Lafayette	"{ ""formatted_address"" : ""West Lafayette, IN, USA"", ""location"" : { ""lat"" : 40.4258686, ""lng"" : -86.90806549999999 } }"
bapatrick105	122879117	107	100	297	0	14 Mar 2010 06:20:32 GMT	Indianapolis	"{ ""formatted_address"" : ""Indianapolis, IN, USA"", ""location"" : { ""lat"" : 39.768403, ""lng"" : -86.158068 } }"
jandlray	124838374	54	12	121	0	20 Mar 2010 19:04:12 GMT	Avon, IN	"{ ""formatted_address"" : ""Avon, IN, USA"", ""location"" : { ""lat"" : 39.7628227, ""lng"" : -86.3997167 } }"
VolumeMack	125162624	209	163	591	0	21 Mar 2010 22:41:50 GMT	Indianapolis, Indiana	"{ ""formatted_address"" : ""Indianapolis, IN, USA"", ""location"" : { ""lat"" : 39.768403, ""lng"" : -86.158068 } }"
KharismaDaKidd	125239417	265	163	1228	0	22 Mar 2010 04:53:28 GMT	Terre Haute, Kentuckiana	"{ ""formatted_address"" : ""Terre Haute, IN, USA"", ""location"" : { ""lat"" : 39.4667034, ""lng"" : -87.41390919999999 } }"
BKaws	125403580	343	514	23939	0	22 Mar 2010 18:04:08 GMT	Ball State!	"{ ""formatted_address"" : ""Ball State University, 2000 W University Ave, Muncie, IN 47306, USA"", ""location"" : { ""lat"" : 40.1972366, ""lng"" : -85.4088412 } }"
itsssBARBIE	125788420	991	1108	13513	0	23 Mar 2010 21:48:59 GMT	middle of the map.	"{ ""formatted_address"" : ""Middle Township, IN, USA"", ""location"" : { ""lat"" : 39.8663476, ""lng"" : -86.4794359 } }"
megfizer	126692072	148	319	15254	0	26 Mar 2010 17:50:32 GMT	Muncie, IN	"{ ""formatted_address"" : ""Muncie, IN, USA"", ""location"" : { ""lat"" : 40.1933767, ""lng"" : -85.3863599 } }"
93wibc	12673222	4836	5214	15930	0	25 Jan 2008 06:37:31 GMT	Indianapolis	"{ ""formatted_address"" : ""Indianapolis, IN, USA"", ""location"" : { ""lat"" : 39.768403, ""lng"" : -86.158068 } }"
KyleMundell	127354251	72	51	802	0	28 Mar 2010 23:12:38 GMT	Kokomo, IN	"{ ""formatted_address"" : ""Kokomo, IN, USA"", ""location"" : { ""lat"" : 40.486427, ""lng"" : -86.13360329999999 } }"
joshmiles	12759992	1204	1334	2397	0	27 Jan 2008 20:36:56 GMT	Indianapolis, IN	"{ ""formatted_address"" : ""Indianapolis, IN, USA"", ""location"" : { ""lat"" : 39.768403, ""lng"" : -86.158068 } }"
JasonJ2688	127811485	70	44	308	0	30 Mar 2010 09:08:39 GMT	West Lafayette, IN	"{ ""formatted_address"" : ""West Lafayette, IN, USA"", ""location"" : { ""lat"" : 40.4258686, ""lng"" : -86.90806549999999 } }"
Clovercelt	127817836	803	407	5188	0	30 Mar 2010 09:46:41 GMT	Republican Scotland	"{ ""formatted_address"" : ""Scotland Cemetery, Madison, IN 47250, USA"", ""location"" : { ""lat"" : 38.752735, ""lng"" : -85.5028002 } }"
JoshDSchultheis	128229932	157	30	135	0	31 Mar 2010 14:13:18 GMT	Bloomington, IN	"{ ""formatted_address"" : ""Bloomington, IN, USA"", ""location"" : { ""lat"" : 39.165325, ""lng"" : -86.52638569999999 } }"
COLLEGEGIIRL10	128680234	250	289	5712	0	1 Apr 2010 21:44:45 GMT	indianapolis	"{ ""formatted_address"" : ""Indianapolis, IN, USA"", ""location"" : { ""lat"" : 39.768403, ""lng"" : -86.158068 } }"
yellowmello	12966692	806	415	17737	0	2 Feb 2008 01:29:31 GMT	Mount Vernon IN	"{ ""formatted_address"" : ""Mt Vernon, IN, USA"", ""location"" : { ""lat"" : 37.9322662, ""lng"" : -87.8950267 } }"
KurtisEMcCoin	129738200	274	299	9160	0	5 Apr 2010 07:29:33 GMT	Indianapolis	"{ ""formatted_address"" : ""Indianapolis, IN, USA"", ""location"" : { ""lat"" : 39.768403, ""lng"" : -86.158068 } }"
TateNubbs	129882600	459	488	1353	0	5 Apr 2010 18:05:22 GMT	Purdue University	"{ ""formatted_address"" : ""Purdue University, 610 Purdue Mall, West Lafayette, IN 47907, USA"", ""location"" : { ""lat"" : 40.4237054, ""lng"" : -86.92119459999999 } }"
KTFralick	130020344	637	294	909	0	6 Apr 2010 02:37:07 GMT	Indianapolis	"{ ""formatted_address"" : ""Indianapolis, IN, USA"", ""location"" : { ""lat"" : 39.768403, ""lng"" : -86.158068 } }"
adamnevins	130154299	307	126	1044	0	6 Apr 2010 13:37:34 GMT	Indianapolis, IN	"{ ""formatted_address"" : ""Indianapolis, IN, USA"", ""location"" : { ""lat"" : 39.768403, ""lng"" : -86.158068 } }"
MoWill100	131752138	255	127	1879	0	11 Apr 2010 06:24:33 GMT	Indianapolis,IN	"{ ""formatted_address"" : ""Indianapolis, IN, USA"", ""location"" : { ""lat"" : 39.768403, ""lng"" : -86.158068 } }"
